,질병명,축종,정의,주요증상
1343,D-limonene의 독성(D-limonene toxicity in cats),고양이," D-limonene는 많은 감귤류의 기름안에  monocyclic terpene에서 찾음. 벼룩과 진드기에 살충제로 사용. 사용량은 78.2% d-limonene을 1.5 oz/gal water에 농축. 경미한 증상 에는 5배 농축 심각한 증상에는 15배 농축. 치료의 병력과 생산물의 부적절한 희석에 의함. 높은 함량은 2차적인 피부의 자극을 야기.눈에 들어간다면 안검 형성 야기",거리감각불능 거리감각과대및과소 과도한침흘림 유연 입에거품 떨림 전율 오한 안검연축 경련 운동실조 협조불능 절뚝거림 넘어짐 저체온증 낮은체온 진전 피부의궤양 미란 찰과상 피부홍반 염증 발적 
1344,눈물주머니염(Dacryocystitis in dogs and cats),"개, 고양이"," 눈물주머니염은 눈물샘의 염증이 있음, 점액고름의 눈분비물이 특성임. 잠재적인 원인은 종종 코눈물골계안에서 이물체에 의해 나타남. 코눈물뼈계의 선천적 이상이나 외상물림은 가짜의 눈물주머니염 일 수 있음. 진단은 증상에 의존함, 치료의 반응과 눈물주머니코안연결술에 의함. 드물게, 눈물주머니가 농양 일 수 있음",결막 공막부종 결막 공막의발적 결막 공막의충혈 혈관의이상 눈물흘림 장액성분비물 축축한눈 눈의통증 안통 눈의화농성분비물 비루관이막힘 안와 안와주위 결막부종 안구종괴 피부누관 공동형성 
1345,나팔수선 독성(Daffodil poisoning),"개, 고양이", 나팔수선의 잎이나 구근을 섭취에서는 독성의 원인임(Campbell). 치료는 지지요법,거리감각불능 거리감각과대및과소 과도한침흘림 유연 입에거품 구토 무기력 침울 졸림 생기없음 복강외부압박에따른통증 서맥 느린심박동이나맥박 설사 하리 식욕부진 식욕감소 식욕절폐 젖을먹임 먹이공급중단 운동실조 협조불능 절뚝거림 넘어짐 창백 탈수 
1346,달마시안청동증후군(Dalmatian bronzing syndrome),개, 오직 달마시안 개에서만 나타나는 질병이고 병인학이 알려지지 않았다. 면역성이나 대사기초가 짐작된다. 소양성 피부염에 의해 특성되어지고 가죽이 변색되고 2차적인 모낭염과 화농피부증에 걸리게 쉽게 된다. 진단은 품종과 증상에 기초된다. 소변분석은 요산이나 요산결정과 고요산혈증이 있다.,거친피모 곤두선털 소양감 가려움 탈모 무모증 털의과도한색소침착 전신혹은국소 피부구진 피부농포 피부통증 피부팽진 발진 피부의궤양 미란 찰과상 피부홍반 염증 발적 
1347,도베르만 춤추는 질병(Dancing doberman disease),개, 도베르만핀처가 알려진 원인 없이 다리를 치켜올리는 것이다. 이것은 여러 해에 지속되거나 다른 다리까지 영향을 줄 수 있다. 수축과 고유수용체 결함이 나타날 수 있다; 다리의 힘줄과 근육 반사가 과다활동으로 나타날 수 있다. 원인은 알려지지 않았았으며 치료방법 없고 감염된 동물은 회복되지 않지만 생활에 지장을 주지는 않는다.,뒷다리반사이상(증가나감소) 뒷다리양쪽부전마비 무기력 마비 뒷다리위축 야윔 뒷다리파행 경직 절름발이 비정상적인자세 앞다리파행 경직 절름발이 전신파행 경직 절름발이 
1348,"충혈제거제, 교감신경흥분제의 독성(Decongestant, sympathomimetic, toxicity in dogs and cats)","개, 고양이"," Phenylephrine, ephedrine과 phenylpropanolamine들은 사람에서 충혈제거제로 사용되는 교감신경흥분제임. 진단은 병력에 의해; 치료는  Thursby-Pelham을 검토",구토 발열 고열 방향감각상실 기억상실 빈맥 빠른맥박 심박 산동 확장된동공 서맥 느린심박동이나맥박 지각과민 예민함 과다운동 흥분 헛소리 광분 
1349,도베르만의 호중성백혈구 박테리아 능력 결함(Defective neutrophil bactericidal activity in dobermans),개, Doberman pinschers 가계는 3-4주의 나이에 만성 비염과 페렴을 첫 번째 나타남. 상당히 감소된 STAPHYLOCOCCUS EPIDERMIDIS가 있으면  정상적인 주화능력과 식세포능력이 있음에도 불구하고 니트로블루테트라졸리움시험과 박테리아 활성이 반대됨. 결손에 의해 감염된 개는 여러해에 걸쳐 정기적으로 기도에 재발하면서 잔존함이 연구 되어짐,거친피모 곤두선털 기침 다호흡 빠른호흡(빈호흡) 과호흡 무기력 침울 졸림 생기없음 발열 고열 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음 설사 하리 식욕부진 식욕감소 식욕절폐 젖을먹임 먹이공급중단 재채기 점액양비강분비물 장액성 수양성 피부인설 비듬 비늘 호흡곤란 개구호흡 그르렁거림 가쁜호흡 화농성비강분비물 
1350,담즙산염결핍(Deficiency of bile salts in dogs),개," 지방변증, 만성 설사, 체중 감소와 담즙산염 결핍을 가지면서 결정된 피부 질환이 나타나는 2마리 개는(Simpson and van de Broek), 비록 증명되었어도 논쟁의 여지가 있음(Hall et al.). 췌장 외분비물의 부족은 배제됨; 황달도 또한 아니고  대변색이 창백한 색이 아니고, 답즙 흐름의 장애도 아니라고 추측함. 담즙산염의 치료 반응임. 진단은 다른 질병의 제거와 담즙산염 치료 반응에 의함",설사 하리 소양감 가려움 지방변 수척 건강상태불량 증체율불량 체중감소
1351,퇴행성점액벽모낭염(Degenerative mucinotic mural folliculitis in cats),고양이," 고양이에서 발달된 피부질병은 소포협부의 심하게 혼합된 염증, 종종 소포 파괴가 수반됨. 이것은 과립의 무신 퇴적물임. 임상적 증상은 복잡하게 감염된 고양이의 머리, 목, 어깨, 얼굴과 주둥이에서 가장 명백하게 나타남. 원인은 알려지지 않음",과각화증 두꺼운피부 머리 얼굴 귀 턱 코의종창 종괴 무기력 침울 졸림 생기없음 발열 고열 소양감 가려움 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 체중감소 탈모 무모증 피부또는피하의종창 종괴 결절 피부색소과잉침착 피부인설 비듬 비늘 피부의가피 딱지 
1352,미니어쳐푸들의 신경탈수초(Demyelination in miniature poodles),개, miniature poodles에서 나타나는 유전학적 신경장애임. 진행성 하반신 마비이며 2-4달 나이에서 처음 증상이 나타나고 4의 불안전 마비를 초래. 어떠한 뇌신경 결손이 나타나지 않고 슬개골 반사도 정상이지 않음. 부검 시 신경수초 제거는 모든 척수에 원주모양이 나타남. 진단은 부검으로 확인.,거리감각불능 거리감각과대및과소 기립불능 다우너 뒷다리양쪽부전마비 무기력 마비 비정상적인자세 사지마비 무기력 운동실조 협조불능 절뚝거림 넘어짐 
1353,"치아우식, 충치(Dental caries, cavities, in dogs and cats)","개, 고양이"," 치아우식이나 충치는 개, 고양이에서 나타날 수 있음, 비록 사람들보다는 흔하지 않음",구강통증 구강점막및혀의통증 이빨색깔 이빨의이상 이빨에금이감 이빨파열 저작곤란 잘씹지못함 충치 치아우식증 
1354,"치아우식, 치아 농양, 치아뿌리 농양(Dental decay, tooth abscess, tooth root abscess)","개, 고양이"," 상악돌기 안으로  어금니 위에 네 번째의 감염 신장부분는 개에서 가장 흔한 부비동염의 원인임, 또한 고양이에서도 감염될 수 있음.  말에서 치수공간의 감염은 몇몇의 원인으로 될 수 있지만 만약 치아종양과 부비동염 진행과정 묵인은 발전될 수 있음 만약 말에서 악화되거나 기포골막염(치아구멍이나 기포 안의 치아뿌리 주위의 골막의 염증)에 걸린 치아의 제거했을 때 나타남. 진단은 구강 검사와 X선촬영에 의함.",구강통증 구강점막및혀의통증 구강 혀의종창 종괴 머리 얼굴 귀 턱 코의종창 종괴 머리 얼굴 턱 귀의통증 발열 고열 수척 건강상태불량 증체율불량 이빨색깔 이빨의이상 이빨흔들림 풍치 이빨에금이감 이빨파열 저작곤란 잘씹지못함 점액양비강분비물 장액성 수양성 체중감소 충치 치아우식증 피부누관 공동형성 호흡시이상한냄새 구강의악취 화농성비강분비물 
1355,4-AMINOPYRIDINE 독성(4-AMINOPYRIDINE TOXICITY),"개, 고양이", 물질은 옥수수에 섞여서 새의 독약으로 사용된다. 우연한 섭취가 독성을 나타낸다. 진단은 먹이의 chromatography를 이용해 진단한다. 대개 섭취 후 몇 시간 내에 죽는다, 거리감각불능 거리감각과대및과소 과도한침흘림 유연 입에거품 급사 돌연사 다한증 과도한땀흘림 다호흡 빠른호흡(빈호흡) 과호흡 떨림 전율 오한 무유증 유즙생산감소 정지 발작 실신 경련 간질발작 허탈 비정상적또는공격적행동 습성이바뀜 빈맥 빠른맥박 심박 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 운동실조 협조불능 절뚝거림 넘어짐 이급후증 배변곤란 진전 체중감소 호흡곤란 개구호흡 그르렁거림 가쁜호흡 흥분 헛소리 광분
1356,개의 5-FLUOROURACIL 독성(5-FLUOROURACIL TOXICITY IN DOGS),개, 5-Fluorouracil을 함유한 용액과 크림은 사람에서 태양광선각화증과 몇몇 표피 종양 치료제로 사용된다. 개는 이물질에 노출되면 독성을 나타낸다. 임상 증상은 대개 이물질에 노출 후 1시간 이내에 발현된다. ,거리감각불능 거리감각과대및과소 과도한침흘림 유연 입에거품 구토 급사 돌연사 눈물흘림 장액성분비물 축축한눈 다호흡 빠른호흡(빈호흡) 과호흡 떨림 전율 오한 무기력 침울 졸림 생기없음 발작 실신 경련 간질발작 허탈 부정맥 불규칙한심박및맥박 비정상적또는공격적행동 습성이바뀜 빈맥 빠른맥박 심박 서맥 느린심박동이나맥박 설사 하리 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 안구진탕 안구불수의적운동 운동실조 협조불능 절뚝거림 넘어짐 청색증 피부나점막이푸름 탈모 무모증 토혈증 혈변 호흡곤란 개구호흡 그르렁거림 가쁜호흡 
1357,"개의 5-hydroxytryptophan, 5-htp, griffonia 씨앗 추출물의 독성( 5-HYDROXYTRYPTOPHAN, 5-HTP, GRIFFONIA SEED EXTRACT TOXICITY IN DOGS)",개,"일반 판매 사료 첨가제인 5-hydroxytryptophan (5-HTP, Griffonia씨앗 추출물) 개에서 잠재적으로 생명을 위협하는 독성을 유발할 수 있다. 임상증상은 섭취 후 빠르게 발현할 수 있다.", 거리감각불능 거리감각과대및과소 과도한침흘림 유연 입에거품 구토 급사 돌연사 기립불능 다우너 다호흡 빠른호흡(빈호흡) 과호흡 뒷다리반사이상(증가나감소) 떨림 전율 오한 무기력 침울 졸림 생기없음 발열 고열 발작 실신 경련 간질발작 허탈 방귀 방향감각상실 기억상실 복강외부압박에따른통증 복부팽만 빈맥 빠른맥박 심박 빛에대한동공의비정상반응 산동 확장된동공 산통 복통 설사 하리 소리계속지르기 소리가커짐 실명 시력상실 앞다리반사이상(증가나감소) 운동실조 협조불능 절뚝거림 넘어짐 저체온증 낮은체온 전신허약 부전마비 마비 지각과민 예민함 과다운동 진전 청색증 피부나점막이푸름 호흡곤란 개구호흡 그르렁거림 가쁜호흡 흥분 헛소리 광분 
1358,"개의 비정상적인 오구설충증, 오구설충(ABERRANT 개 PENTASTOMIASIS, POROCEPHALUS CROTALI)",개,Porocephalus crotali는 오구설충으로 절지동물의 특징을 지닌 기생충의 종류이다. 이것은 개의 코인두의 기생충인 LINGUATULA와 관련있다. P. CROTALI는 대개 뱀에서 발견되나 개에서는 복부덩어리나 복수로 진단된다. 낭이 형성된 유충이 복강의 복부면과 내장면에 존재한다. 복수의 호산구가 증가한다. 수술로 진단한다., 복부팽만 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음 복수 복강내부종괴 종창 유착
1359,개의 내측눈구석의 비정상적인 진피(ABERRANT DERMIS OF THE MEDIAL CANTHUS IN DOGS),개," 이것은 라사압소, 페키니즈, 시츄에서 빈번하게 관찰되는 양측성 질환이다. 내측 눈구석 사이의 안면 피부로부터 이상진피가 발생한다. 안구 결막까지 번져 자극을 생산 할 수도 있다. 관찰을 통해 진단한다.", 각막색소침착이상 결막 공막부종 결막 공막의발적 각막혈관신생.판누스 눈물흘림 장액성분비물 축축한눈 안와 안와주위 결막부종 안구종괴
1360,"정자형성과 정자발생의 이상(ABNORMALITIES OF SPERMIOGENESIS, SPERMATOGENESIS)",개," 형태학적인 결함은 수소에서 불임을 유발할 수 있다. 중요한 결함(정자의 비정상적 머리, 근위부 과립, 비정상적 중편)은 숫말에서 불임과 관계있다. 그리고 중편의 결함은 여러종의 개에서 불임을 유발한다. 숫사슴의 정액에서 이상이 보였으나 불임과 관련이 없었다. 부은 중편 결함, 여러개의 머리, 돌출된 정조세포, 핵내 낭형성이 수퇘지의 불임의 원인이 된다고 기록되어 있었다. 정자의 관찰로 진단한다.",수컷불임 
1361,음낭의 농양(ABSCESS OF THE SCROTUM),고양이, 음낭의 농양은 숫양과 숫고양이에서 흔하며 불임을 유발할 수 있다. 수소에서 이런 병변의 보고는 드물다. 농양은 더 깊은 조직까지 종종 침투하고 생식기관에도 피해를 준다. 보통 창상의 결과로 발생한다.,고환통증 고환 음낭촉진시열감 수컷불임 음낭통증 음낭 고환크기이상 음낭 고환의절창 열상 피부의열감 
1362,"자궁뿔의 결손, 외 자궁뿔(ABSENCE OF UTERINE HORN, UTERUS UNICORNIS)","개, 고양이", 선천적인 자궁뿔의 결손은 어떤 종에서도 일어날 수 있다. 그러나 임신은 다른쪽 자궁뿔에서 가능하다. 부검이나 수술같은 물리적 검사에 의해 진단된다.,발정기간의이상 발정주기이상 암컷불임 자궁 난소의결손 자궁 자궁경부의크기감소 
1363,개의 가시아메바증(ACANTHAMEBIASIS IN DOGS),개," ACANTHAMOEBA는 자유생활형 아메바이다. 개에서 질병을 유발할수 있으며 특히 그레이 하운드에서 질병을 유발한다.  A. CASTELLANI 와 A. CULBERTSONI은 개에 감염시 발견된다. 이 생물에 의해 유발되는 임상증상은 개 홍역과 비슷하다. 백혈구 감소증이 종종 발생하나, 생전의 진단은 어렵다. 감염된 조직의 배양이나 생검을 통해 진단될수 있다.",기침 거리감각불능 기립불능 눈물흘림 눈의화농성분비물 머리기울기 무기력 발열 발작 실신 비정상적인자세 식욕부진 운동실조 운동기피 점액양비강분비물 호흡곤란 호흡율증가 화농성비강분비물 
1364,개의 흑색가시세포증(.ACANTHOSIS NIGRICANS IN DOGS),개," 일차 흑색가시세포증은 닥스훈트에서만 나타난다. 병인론은 알려져있지 않다. 특히 몸의 주름에 과다색소침착과 표피 두꺼워짐이 일어난다.병변은 겨드랑이에서 시작된다 그리고 가슴, 복부, 옆구리, 샅굴로 퍼진다. 아마도 유전적요인이 있을 것이다. 또한 다른 질병(내분비질환, 과민반응, 비만에 의한 마찰)의 이차질환으로 발생한다. 임상증상, 치료에 대한 반응을 통해 진단한다. 이차적으로 가려움을 동반한 화농피부증이 일어날 수 있다.", 과각화증 림프절종대 소양감 지루성피부 탈모 피모나깃털의기름기 피부구진 피부균열 피부농포 피부부종 피부색소과잉침착 피부의악취 피부홍반 
1365,"미니어처 슈나우져의 후천성 금색털증(ACQUIRED AUROTRICHIA, GILDING SYNDROME, OF MINIATURE SCHNAUZERS ,GILDING SYNDROME)",개, 미니어쳐 슈나우져의 등쪽의 일차털이 후천적으로 금색으로 발달하고 이차털은 듬성듬성해지며 가늘고 거칠어진다.(나머지는 흰색털) 발생 평균연령은 2.5년이며 건강상태나 내분비 쪽의 문제와 관계가 없다. 금색털증에 걸린 개의 절반 가량은 2년 내에 회색털로 돌아온다., 거친피모 털색소침착감소 
1366,개의 후전성 한랭두드러기(ACQUIRED COLD URTICARIA IN DOGS),개," 두드러기는 진피의 부종 주위에 솟아오름, 홍반, 가려움증이 특징이다. 찬공기, 찬물, 얼음에 노출시 만성적, 재발되는 두드러기가 보고되었다.",구강점막의울혈 빈맥 소양감 약맥 탈모 피부부종 피부통증 피부팽진 피부홍반 
1367,개에서 후천적 척수내수종과 척수구멍증을 가진 척추 측만증(ACQUIRED SCOLIOSIS WITH HYDROMYELIA AND SYRINGOMYELIA IN DOGS),개," 경추와 흉추의 진행성 척추측만증을 가진 개가 보고되었다. 사람에서는 척수내수종, 척수구멍증, 거미막 낭종이 척추측만증과 관련이 있다. 개에서 낭종이 형성된 척수 병변은 진행성 척수 기형의 원인이 된다.",근긴장증 목 경부 목구멍통증 사경 수척 건강상태불량 증체율불량 앞다리파행 운동실조 척추측만증 체중감소 
1368,"개, 고양이의 후천성 피부 백반증(ACQUIRED SKIN HYPOPIGMENTATION IN DOGS AND CATS, VITILIGO)","개, 고양이"," 탈색소증 특히, 코, 입술, 구강점막(그러나 이곳에만 국한되는 것은 아님)은 도베르만핀쳐, 벨젠테르뷔랑, 저먼셰퍼드, 롯트와일러, 올드잉글리쉬쉽독, 닥스훈트, 샴고양이에서 성축일 때 발병한다. 많은 경우에 털의 탈색과 연관 없이 피부가 탈색된다. 아마도 유전적이다.", 털색소침착감소 피부색소침착감소 
1369,"개, 고양이의광선, 태양광 각화증, 피부병(ACTINIC, SOLAR KERATOSES, DERMATOSES, IN CATS AND DOGS)","개, 고양이","광선 각화증은 편평상피암종으로 진행될 수 있는 전암성 병변이다. 한 곳 또는 여러 곳에 가는 털과 밝은 피부가 나타난다. 임상증상은 다양하다. 조직병리학에 의해 진단된다.",과각화증 피부괴사 피부구진 피부또는피하의종창 피부인설 피부통증 피부의가피 피부의궤양 피부홍반 
1370,"개, 고양이의 액티노바실러스증(ACTINOBACILLOSIS IN DOGS AND CATS)","개, 고양이","ACTINOBACILLUS LIGNIERESII는 구강내에 존재하는 편리공생균이다. 병소는 교상이나 안면부와 입근처의 상처로부터 시작된다. 감염은 느리게 진행한다 호기성배양과 직접도말법 또는 병소의 생검으로 진단한다.", 구강 혀의종창 뒷다리종창 뒷발종창 목부위종창 복강외부종창 종괴 안와 안와주위 결막부종 앞다리종창 피부누관 피부또는피하의종창 피부의열상 피부의화농성분비물 후두 기관 인두의종창 
1371,"급성 탄저병, 탄저균-인수공통(ACUTE ANTHRAX, BACILLUS ANTHRACIS- ZOONOSIS)","개, 고양이",탄저병은 탄저균(BACILLUS ANTHRACIS)에의한 급성 패혈증이다. 미국 남부쪽을 포함해서 대부분 풍토병이다. 토양에 존재하는 탄저균 포자에 노출되어 전파된다. 돌연사가 발생할수 있으며 또는 증상이 보일수도 있으며 치료해야한다. 혈액도말법과 배양으로 진단한다. 탄저병은 인수공통질병이다.,거리감각불능 경정맥박동 고창증 골반및회음부의종창 급사 기립불능 다호흡 떨림 전율 오한 머리 얼굴 귀 턱 코의종창 종괴 목부위종창 무기력 무유증 유즙생산감소 정지 발열 발작 실신 배변량감소 변비 배변안됨 복강외부종창 종괴 복부팽만 비정상적또는공격적행동 습성이바뀜 비출혈 빈맥 설사 수척 건강상태불량 증체율불량 식욕부진 운동실조 유산 허약한새끼분만 1위운동성저하 위무력증 적색뇨 전신허약 점상또는반상출혈 진전 창백 청색증 체중감소 출혈 응고부전 탈모 피부괴사 피부누관 피부또는피하의종창 피부부종 피부 털 깃털이축축함 피부홍반 혈뇨 혈변 혈색소뇨 근색소뇨 호흡곤란 황달 흉부종창 
1372,"개의 급성 저작관련인, 호산성, 근육염(ACUTE 개 MASTICATORY, EOSINOPHILIC, MYOSITIS)",개,"저작근, 교근, 측두근, 날개근의 급성 괴사성 근육염은 특히 대형견의 개에서 발생할수 있다. 근육의 부종은 눈을 돌출시킬수 있고, 심한 통증을 유발한다. 발열도 있을 수 있다. 스테로이드 요법으로 완화되지만, 재발되면 근육의 위축을 수반한 만성 병소(만성 상악근육염)로 발전될 수 있다. 편측성 병소는 드물다. ", 개구장애 개구곤란 과도한침흘림 유연 입에거품 림프절종대 머리 얼굴 귀 턱무기력 처짐 머리 얼굴 귀 턱 코의종창 종괴 머리 얼굴 턱 귀의통증 머리 얼굴 턱 혀위축 수척 야윔 무기력 침울 졸림 생기없음 발열 상부기도의비정상호흡음 코고는소리 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 실명 시력상실 안구돌출 연하곤란 연하장애 인두의홍반 발적 저작곤란 잘씹지못함 제3안검탈출 체중감소 후두 기관 인두의종창 
1373,"개, 고양이의 급성 감염성 또는 창상성 후두염(ACUTE INFECTIOUS OR TRAUMATIC LARYNGITIS IN DOGS AND CATS)","개, 고양이","개, 고양이의 급성 후두염은 고양이의 전염성기관염 또는 칼리시바이러스 , 개의 아데노바이러스 또는  개홍역 과 같은 바이러스성 질병과 관련되어 있다. 창상성 기관내 삽관은 또한 일반적인 창상성 후두염의 원인이다. 병력을 기초로 진단하며 다른 원인은 배재하며 재발성 질병이다.", 구역질 다호흡 목소리변성 상부기도의비정상호흡음 코고는소리 인두의궤양 수포 인두의홍반 발적 호흡곤란 후두 기관 인두의종창 
1374,"개, 고양이의 급성 습진성피부염, 화농창상성 열점(ACUTE MOIST DERMATITIS, PYOTRAUMATIC HOT SPOTS IN DOGS AND CATS)","개, 고양이","열점은 동물이 통증이나 가려움증을 완화시키기 위해 긁어서 발생하는 창상이다.외부기생충, 알러지반응, 외래이물질, 정신이상, 자극물질, 염증반응, 근육골격계의 비정상이 열점의 원인이다. 벼룩 알러지가 가장 빈번한 열점의 원인이다. 병변은 단백질 삼출물과 홍반을 동반한 붉고, 습하며, 탈모를 보인다. 병변은 대개 궁둥이, 첫 번째 자극의 자리 근처에 위치한다. 콜리, 라브라도 리트리버, 세퍼트, 세인트 버나드 처럼 빽빽한 속털을 가진 개가 병에 걸리기 쉽다. 전형적인 병력과 외부 형태로 진단한다. 고양이에서는 잘 알려지지 않았지만 보고된 바 있다.", 탈모 피부 털 깃털이축축함 소양감 가려움 피부의가피 딱지 피부홍반 피부통증 피부의궤양 
1375,"급성 또는 만성 개의 전립선염, 전립샘, 전립샘의 농양(ACUTE OR CHRONIC CANINE PROSTATITIS, PROSTATE, PROSTATIC, ABSCESS)",개,"전립샘의 감염은 늙은 숫컷 개에서 흔하고, 전립샘 농양는 급성 또는 만성 전립샘염의 후유증으로 올수도 있다. 질병의 전신적, 국소적 증상이 나타날 수 있다. 감염은 요도에서부터 빈번하게 시작된다. 급성 전립선염은 종종 전신적 증상을 나타낸다. 만성 전립선염에서 전립샘은 대게 재발된 요도감염시 단단하고 주름진 증상을 나타낸다. 농양형성은 간헐적인 임상증상으로 보일수도 있다. 촉진, 방사선 촬영과 전립선액의 배양으로 진단한다. 종종 소변의 끝에 피가 있다. 농양의 파열은 급성패혈증의 원인이 될수 있다.", 구토 단백뇨 뒷다리파행 무기력 발열 방광종대 확장 배뇨곤란 배변량감소 변비 배변안됨 복강외부압박에따른통증 복강내부종괴 빈뇨 빈맥 산통 수척 건강상태불량 증체율불량 수컷불임 식욕부진 요실금 음경 포피의화농성분비물 이급후증 적색뇨 갈색뇨 전립선비대 종창 종괴 전립선통증 체중감소 탈수 혈뇨 출혈 응고부전 
1376,"급성특발다발신경염, 원인불명 다발신경병증, 쿤하운드(사냥개)마비증(ACUTE POLYRADICULONEURITIS, IDIOPATHIC POLYNEUROPATHY, COONHOUND PARALYSIS)","개, 고양이",이것은 말초신경계의 여러군데에서 나타나고 배 쪽 뿌리에서 더 우세하게  나타나는 동시다발적인 염증이다. 뇌신경은 가장 심각한 경우에 영향을 받는다. 병리학적인 변화는 미엘린수초 탈락과 왈러변성(왈러 변성은 신경섬유 에서 변성이 일어났을 때 말초쪽으로 일어나는 지방성변성을 말한다)을 포함한다. 대개 7~14일 이전에 너구리에 노출된 적이 있다면 마비의 개시는 10일 내에 신속하고 빠르게 최고조를 이루며 그이후 몇주 후 점진적으로 완화된다. 병력과 증상으로 진단한다. 비슷한 증후가 고양이에서도 보고된바 있다., 거리감각불능 골반위축 구토 근육긴장저하 기립불능 꼬리무기력 다호흡 뒷다리무기력 뒷다리반사이상(증가나감소) 뒷다리양쪽부전마비 뒷다리위축 등부위위축 야윔 머리 얼굴 귀 턱무기력 처짐 머리 얼굴 턱 혀위축 목무기력 목 가슴 위축 목소리변성 저작곤란 잘씹지못함 비정상적인자세 사지마비 서맥 식욕부진 앞다리반사이상(증가나감소) 앞다리위축 연하곤란 과도한침흘림 전신허약 지각과민 편측부전마비
1377,"소, 양, 개의 급성 셀레늄 독성(ACUTE SELENIUM TOXICITY IN CATTLE, SHEEP AND DOGS)",개," 소에서 실험적 단회 치사용량은 1~2mg/kg이고 어린양에서 LD50은 1/2 mg/kg 이다. 투여후 몇시간 이내에 죽었고, 호흡기쪽 증상이 현저했다. 셀레늄을 주사한 개에서 부검시 돌연사를 유발한 폐수종이 보고되었다. 소, 양의 급성 독성에서 보이는 다른 증상은 개에서는 없었다. 병력과 부검시 증가한 셀레늄 수치로 진단한다. 어린양에서는 많은양을 경구투여시 사망한 경우가 보고되었다.",과도한침흘림 기립불능 다호흡 돌연사 떨림 머리박치기 무기력 무유증 발작 부정맥 빈맥 산동 설사 하리 식욕부진 실명시력상실 실신 이동거부 전신허약 진전 청색증 피부냉감 호흡곤란 후궁반장 
1378,개의 Acyclovir(항바이러스성 약품) 독성(ACYCLOVIR TOXICITY IN DOGS),개,  Acyclovir는 사람에서 쓰이는 항 바이러스성 약품이다. 개에서 사고로 많은양을 섭취했을 때 중독된다. 병력과 증상과 혈장내 acyclovir수치로 진단한다.,다뇨증 다음 떨림 무기력 빈맥 산동 설사 하리 식욕부진 진전 구토 
1379,암컷개의 샘근육증(ADENOMYOSIS IN BITCHES),개," 샘근육증은 자궁내막에서 자궁근층내부로 자라는 양성근육증이다. 이것은 개에서는 드물고 자궁의 다른증상들과 같이 나타난다. 그러나 자궁의 국소상 비대를 유발하는 샘근육증과 관련된 임상증상은 보고된 바 있다. 방사선촬영, 초음파진단, 조직학으로 진단한다.",구토 무기력 발정주기이상(길거나짧음) 복강외부압박에따른통증 식욕부진 외음부 질의악취냄새 분비물 외음부 질의화농성분비물 
1380,"개의 아데노바이러스성 폐렴, 기관기관지염(ADENOVIRUS PNEUMONIA, TRACHEOBRONCHITIS, IN DOGS)",개," 개 아데노바이러스 type 1( 전염성 개 간염 바이러스) 와 type 2(Toronto A26/61) 모두, 아데노 바이러스 단독 혹은 개홍역 바이러스와 같은 물질과 관련되어있던지 상관없이 호흡기질환을 가진 개에서 분리되었다. 전형적인 Cowdry type A inclusion라 불리는 핵내 봉입체는 대식세포, 폐세포와 기관지 상피세포에서 발견된다. 바이러스 분리 또는 봉입체로 진단된다.",결막 공막의발적 기침 눈물흘림 눈의화농성분비물 다호흡 무기력 발열 식욕부진 점액양비강분비물 호흡곤란 
1381,개의  소장 융모 부착성 그람 양성 구균(ADHERENT GRAM-POSITIVE COCCI ON THE INTESTINAL VILLI OF DOGS),개,개의 십이지장 생검 표본은 융모 장세포 끝의 표면에 부착한 다량의 미만성 그람 양성 구균이 보일수 있다. 이것은 개의 설사와 설사의 특이한 원인일수도 있다. 이런 병변을 가진 두 마리의 개에서 항생제 요법에 반응이 있었다. 이 증후군은 개 설사의 원인이 될 수 있는 세균의 과다증식 증후군과 구별된다. 소장의 생검을 통해 진단한다. ,거친피모 건강상태불량 구토 설사 하리 수척 식욕부진 증체율불량 체중감소 
1382,양이의 부신 또는 부신외 (곁신경절종) 크롬친화세포종(ADRENAL OR EXTRA-ADRENAL (PARAGANGLIOMA) PHEOCHROMOCYTOMA IN CATS),고양이," 고양이는 부신샘 가까이 있는 곳의 종양 때문에 임상증상을 야기한다. 조직학, 전자현미경적 종양의 특징은 부신외 (곁신경절종)크롬친화세포종이다. 고양이에서는 부신의 크롬친화세포종은 드물다", 갈증이줄어듬 갈증이없음 거리감각불능 건강상태불량 구강점막의울혈 구토 기침 다뇨증 다음 다호흡 떨림 말초정맥확장 망막박리 망막출혈 머리기울기 무기력 발열 발작 복강외부압박에따른통증 복강내부종괴 복부팽만 복수 부정맥 비정상의폐포음 흉강음 비출혈 빈맥 사시 사팔뜨기 산동 설사 하리 수척 식욕부진 실명 시력상실 실신 심실세동 조동 심잡음 안구진탕 운동실조 전신허약 증체율불량 지각과민 진전 창백 청색증 체중감소 피부부종 호흡곤란 
